iter	Passed	Remaining
683	49396	95038
684	49474	94976
685	49547	94905
686	49620	94835
687	49693	94765
688	49767	94695
689	49839	94623
690	49909	94547
691	49978	94468
692	50044	94384
693	50112	94304
694	50183	94230
695	50249	94145
696	50322	94075
697	50393	94000
698	50465	93927
699	50533	93848
700	50606	93777
701	50699	93743
702	50766	93662
703	50839	93591
704	50912	93519
705	50982	93443
706	51053	93369
707	51121	93289
708	51190	93211
709	51261	93137
710	51336	93070
711	51408	92997
712	51480	92925
713	51550	92849
714	51633	92796
715	51702	92718
716	51771	92639
717	51839	92560
718	51917	92498
719	51986	92420
720	52057	92346
721	52126	92268
722	52186	92174
723	52259	92103
724	52332	92033
725	52410	91971
726	52489	91910
727	52572	91858
728	52642	91780
729	52706	91695
730	52800	91661
731	52866	91576
732	52935	91499
733	52999	91412
734	53066	91331
735	53130	91245
736	53192	91155
737	53252	91063
738	53319	90982
739	53380	90891
740	53443	90802
741	53509	90721
742	53571	90631
743	53631	90539
744	53697	90457
745	53763	90374
746	53823	90281
747	53894	90207
748	53964	90132
749	54025	90041
750	54090	89959
751	54159	89881
752	54229	89805
753	54302	89735
754	54378	89670
755	54446	89591
756	54514	89514
757	54585	89440
758	54653	89360
759	54714	89270
760	54776	89182
761	54852	89117
762	54917	89034
763	54984	88953
764	55046	88866
765	55105	88772
766	55161	88675
767	55228	88595
768	55291	88509
769	55357	88428
770	55418	88339
771	55478	88248
772	55540	88160
773	55604	88076
774	55670	87995
775	55731	87905
776	55798	87826
777	55858	87737
778	55919	87647
779	55986	87569
780	56050	87485
781	56115	87401
782	56180	87319
783	56245	87237
784	56308	87153
785	56373	87070
786	56432	86979
787	56493	86891
788	56555	86804
789	56622	86725
790	56689	86646
791	56750	86559
792	56813	86474
793	56873	86384
794	56948	86318
795	57021	86248
796	57087	86168
797	57144	86074
798	57206	85989
799	57264	85896
800	57324	85808
801	57389	85726
802	57450	85639
803	57516	85559
804	57580	85476
805	57642	85391
806	57703	85304
807	57762	85214
808	57825	85130
809	57893	85053
810	57957	84970
811	58019	84886
812	58081	84800
813	58141	84711
814	58205	84630
815	58270	84549
816	58333	84465
817	58394	84378
818	58450	84286
819	58519	84210
820	58579	84123
821	58640	84036
822	58698	83946
823	58757	83857
824	58821	83776
825	58884	83693
826	58950	83613
827	59011	83528
828	59091	83469
829	59148	83378
830	59205	83286
831	59259	83191
832	59320	83105
833	59377	83015
834	59439	82930
835	59497	82840
836	59570	82772
837	59632	82687
838	59689	82597
839	59747	82508
840	59818	82437
841	59890	82367
842	59949	82280
843	60012	82197
844	60073	82112
845	60132	82024
846	60192	81939
847	60250	81849
848	60353	81821
849	60448	81783
850	60538	81737
851	60625	81687
852	60705	81628
853	60795	81583
854	60873	81520
855	60949	81456
856	61029	81395
857	61109	81337
858	61220	81318
859	61303	81262
860	61386	81207
861	61462	81142
862	61538	81076
863	61618	81017
864	61694	80951
865	61764	80879
866	61827	80796
867	61885	80707
868	61943	80619
869	62003	80532
870	62074	80461
871	62136	80378
872	62199	80295
873	62255	80205
874	62315	80119
875	62375	80033
876	62434	79947
877	62495	79862
878	62553	79774
879	62613	79689
880	62673	79605
881	62730	79515
882	62788	79428
883	62849	79343
884	62914	79264
885	62974	79179
886	63039	79101
887	63102	79020
888	63162	78935
889	63221	78848
890	63295	78781
891	63357	78700
892	63418	78616
893	63480	78534
894	63557	78470
895	63624	78394
896	63686	78311
897	63745	78226
898	63803	78139
899	63865	78057
900	63932	77981
901	63998	77904
902	64057	77819
903	64121	77740
904	64182	77656
905	64254	77587
906	64319	77509
907	64393	77442
908	64451	77356
909	64523	77286
910	64592	77213
911	64654	77131
912	64717	77050
913	64774	76963
914	64835	76881
915	64892	76793
